"COD_CLIENTE";"CAT_EDAD";"ESTADO_CIVIL";"NIVEL_ESTUDIOS";"RANGO_INGRESOS";"CAMP_DEPOSITOS";"SEXO"
"CLI0046780637";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"HOMBRE"
"CLI0043828980";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[1000-2000>";1;"HOMBRE"
"CLI0043396577";"2_MINUS30";"SOLTERO";"PRIMARIA";"[1000-2000>";0;"MUJER"
"CLI0006768677";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"HOMBRE"
"CLI0062632001";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"<600";0;"HOMBRE"
"CLI0044539972";"2_MINUS30";"SOLTERO";"PRIMARIA";"[1000-2000>";1;"MUJER"
"CLI0074041049";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";0;"HOMBRE"
"CLI0008226026";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";0;"MUJER"
"CLI0003847700";"4_PLUS40";"CASADO";"UNIVERSIDAD";"[600-1000>";1;"HOMBRE"
"CLI0010350442";"4_PLUS40";"CASADO";"UNIVERSIDAD";">=2000";1;"HOMBRE"
"CLI0041998439";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[1000-2000>";0;"MUJER"
"CLI0008678857";"4_PLUS40";"CASADO";"SECUNDARIA";"[1000-2000>";1;"MUJER"
"CLI0017874387";"4_PLUS40";"CASADO";"UNIVERSIDAD";"[1000-2000>";1;"HOMBRE"
"CLI0032904655";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"HOMBRE"
"CLI0008083544";"4_PLUS40";"CASADO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0009241743";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";1;"HOMBRE"
"CLI0017554205";"4_PLUS40";"SOLTERO";"SECUNDARIA";"<600";1;"HOMBRE"
"CLI0045081497";"4_PLUS40";"CASADO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0041534199";"3_30_40";"SOLTERO";"PRIMARIA";"[600-1000>";1;"HOMBRE"
"CLI0025406759";"4_PLUS40";"SOLTERO";"SECUNDARIA";"<600";1;"MUJER"
"CLI0015656066";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0046605056";"2_MINUS30";"SOLTERO";"PRIMARIA";"[1000-2000>";0;"HOMBRE"
"CLI0045159046";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"HOMBRE"
"CLI0040113703";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";1;"MUJER"
"CLI0029426343";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"HOMBRE"
"CLI0018850088";"4_PLUS40";"CASADO";"SECUNDARIA";"[600-1000>";1;"HOMBRE"
"CLI0042941309";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[1000-2000>";0;"MUJER"
"CLI0018161617";"3_30_40";"CASADO";"SECUNDARIA";"[1000-2000>";0;"HOMBRE"
"CLI0032925889";"4_PLUS40";"CASADO";"UNIVERSIDAD";"[600-1000>";1;"HOMBRE"
"CLI0009004617";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"HOMBRE"
"CLI0016745258";"3_30_40";"SOLTERO";"PRIMARIA";"[1000-2000>";1;"MUJER"
"CLI0008122018";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[1000-2000>";1;"HOMBRE"
"CLI0043544175";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";0;"MUJER"
"CLI0043147232";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0027250394";"4_PLUS40";"SOLTERO";"PRIMARIA";"[600-1000>";0;"HOMBRE"
"CLI0019574624";"3_30_40";"SOLTERO";"PRIMARIA";"[1000-2000>";0;"HOMBRE"
"CLI0987656775";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"<600";0;"HOMBRE"
"CLI0046354236";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"MUJER"
"CLI0029645583";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";1;"MUJER"
"CLI0071374780";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";0;"MUJER"
"CLI0029711042";"3_30_40";"SOLTERO";"SECUNDARIA";">=2000";1;"HOMBRE"
"CLI0073478861";"2_MINUS30";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";0;"HOMBRE"
"CLI0010689679";"3_30_40";"SOLTERO";"PRIMARIA";"[600-1000>";0;"HOMBRE"
"CLI0046980621";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"MUJER"
"CLI0032980768";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";0;"HOMBRE"
"CLI0044381451";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[1000-2000>";1;"HOMBRE"
"CLI0080200957";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"HOMBRE"
"CLI0000501031";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";1;"MUJER"
"CLI0042501384";"2_MINUS30";"SOLTERO";"SECUNDARIA";">=2000";1;"HOMBRE"
"CLI0041176676";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";1;"HOMBRE"
"CLI0015298285";"4_PLUS40";"CASADO";"PRIMARIA";"[600-1000>";1;"HOMBRE"
"CLI0015714169";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"MUJER"
"CLI0010195386";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";1;"HOMBRE"
"CLI0017842158";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";1;"HOMBRE"
"CLI0080195855";"3_30_40";"SOLTERO";"PRIMARIA";"[600-1000>";1;"MUJER"
"CLI0008762051";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";">=2000";1;"HOMBRE"
"CLI0018076081";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"HOMBRE"
"CLI0016016713";"3_30_40";"SOLTERO";"PRIMARIA";"[600-1000>";1;"HOMBRE"
"CLI0042895322";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[1000-2000>";1;"MUJER"
"CLI0071939627";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"MUJER"
"CLI0009429356";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"HOMBRE"
"CLI0041415142";"3_30_40";"SOLTERO";"PRIMARIA";"[1000-2000>";1;"HOMBRE"
"CLI0072385121";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";0;"MUJER"
"CLI0042389535";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[1000-2000>";1;"HOMBRE"
"CLI0040787002";"3_30_40";"CASADO";"SECUNDARIA";"[600-1000>";1;"MUJER"
